Format Version,1.22,Take Name,Take 2023-08-14 03.16.29 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,29 Dec 1969 17:57:55 +0200,Total Frames in Take,301,Total Exported Frames,301,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand,left_hand
,,"44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E","44FD74BD377C11EE8A984076B0403D8E"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
227,1.891667,-0.233634,0.332743,0.176168,0.896472,2.007072,1.010972,2.959555
228,1.900000,-0.233556,0.332466,0.174419,0.896937,2.007723,1.010564,2.960049
229,1.908333,-0.233956,0.332207,0.173288,0.897148,2.008336,1.010132,2.960542
230,1.916667,-0.234619,0.331963,0.172561,0.897205,2.008902,1.009686,2.961016
231,1.925000,-0.235611,0.331632,0.172288,0.897120,2.009434,1.009228,2.961472
232,1.933333,-0.236909,0.331258,0.172363,0.896902,2.009940,1.008754,2.961891
233,1.941667,-0.238168,0.330747,0.172397,0.896751,2.010424,1.008291,2.962285
234,1.950000,-0.239249,0.330094,0.172132,0.896754,2.010887,1.007858,2.962666
235,1.958333,-0.239933,0.329376,0.171533,0.896950,2.011335,1.007477,2.962999
236,1.966667,-0.240205,0.328654,0.170705,0.897300,2.011757,1.007157,2.963297
237,1.975000,-0.240117,0.328056,0.169841,0.897707,2.012133,1.006898,2.963566
238,1.983333,-0.239819,0.327639,0.169055,0.898087,2.012465,1.006687,2.963813
239,1.991667,-0.239338,0.327470,0.168390,0.898402,2.012743,1.006508,2.964027
240,2.000000,-0.238912,0.327477,0.168003,0.898585,2.012972,1.006349,2.964213
241,2.008333,-0.238629,0.327688,0.167825,0.898617,2.013159,1.006190,2.964360
242,2.016667,-0.238536,0.327982,0.167818,0.898535,2.013319,1.006027,2.964470
243,2.025000,-0.238703,0.328248,0.167786,0.898400,2.013468,1.005859,2.964539
244,2.033333,-0.239124,0.328420,0.167550,0.898269,2.013627,1.005686,2.964563
245,2.041667,-0.239568,0.328521,0.166907,0.898234,2.013803,1.005503,2.964539
246,2.050000,-0.239888,0.328536,0.165870,0.898335,2.013996,1.005331,2.964475
247,2.058333,-0.240372,0.328335,0.164615,0.898509,2.014210,1.005170,2.964411
248,2.066667,-0.240797,0.328099,0.163357,0.898711,2.014416,1.005038,2.964328
249,2.075000,-0.241155,0.327944,0.162240,0.898875,2.014604,1.004938,2.964221
250,2.083333,-0.241419,0.327925,0.161420,0.898958,2.014770,1.004874,2.964086
251,2.091667,-0.241582,0.328079,0.160979,0.898937,2.014910,1.004847,2.963915
252,2.100000,-0.241653,0.328351,0.160997,0.898815,2.015034,1.004855,2.963692
253,2.108333,-0.241604,0.328693,0.161472,0.898618,2.015153,1.004906,2.963392
254,2.116667,-0.241572,0.328913,0.162181,0.898419,2.015287,1.004980,2.963054
255,2.125000,-0.241517,0.328964,0.162980,0.898270,2.015452,1.005073,2.962669
256,2.133333,-0.241575,0.328722,0.163669,0.898219,2.015681,1.005179,2.962239
257,2.141667,-0.241838,0.328146,0.164083,0.898282,2.015990,1.005302,2.961803
258,2.150000,-0.241986,0.327480,0.164101,0.898482,2.016348,1.005463,2.961338
259,2.158333,-0.242091,0.326608,0.163701,0.898844,2.016763,1.005652,2.960842
260,2.166667,-0.242079,0.325583,0.163032,0.899341,2.017235,1.005871,2.960305
261,2.175000,-0.241853,0.324481,0.162220,0.899947,2.017732,1.006126,2.959749
262,2.183333,-0.241396,0.323453,0.161404,0.900586,2.018235,1.006416,2.959164
